OrderLineID;OrderID;OrderDate;CustomerID;CustomerFirstName;CustomerLastName;CustomerEmail;CustomerPhone;CustomerCity;CustomerProvince;CustomerRegion;CustomerSegment;CustomerSignupDate;SalesRepID;SalesRepFirstName;SalesRepLastName;SalesRepEmail;SalesArea;ProductCode;ProductName;Category;Brand;UnitPriceEUR;Quantity;DiscountPct;WarehouseID;WarehouseName;WarehouseCity;WarehouseProvince;SalesChannel;PaymentMethod;OrderStatus;DeliveryDate;ShippingCostEUR;LineRevenueEUR
OL00000011;O0000006;2024-05-20;C01828;Alice;Barbieri;alice.barbieri1828@example.it;+393351247536;Firenze;FI;Toscana;Microimpresa;2025-03-31;S014;Davide;Rinaldi;davide.rinaldi14@example.it;Lazio;P025;Licenza Office Suite;Software;SoftBridge;149.00;8;10.00;W03;Roma Est;Roma;RM;E-commerce;Addebito diretto;Consegnato;2024-05-24;12.90;1085.70
OL00000012;O0000006;2024-05-20;C01828;Alice;Barbieri;alice.barbieri1828@example.it;+393351247536;Firenze;FI;Toscana;Microimpresa;2025-03-31;S014;Davide;Rinaldi;davide.rinaldi14@example.it;Lazio;P021;Sedia Ergonomica;Arredo;FormaOffice;349.00;2;15.00;W03;Roma Est;Roma;RM;E-commerce;Addebito diretto;Consegnato;2024-05-24;7.90;601.20
OL00000013;O0000006;2024-05-20;C01828;Alice;Barbieri;alice.barbieri1828@example.it;+393351247536;Firenze;FI;Toscana;Microimpresa;2025-03-31;S014;Davide;Rinaldi;davide.rinaldi14@example.it;Lazio;P028;Firewall Appliance;Rete;NetWave;1290.00;8;0.00;W03;Roma Est;Roma;RM;E-commerce;Addebito diretto;Consegnato;2024-05-24;0.00;10320.00
OL00000014;O0000006;2024-05-20;C01828;Alice;Barbieri;alice.barbieri1828@example.it;+393351247536;Firenze;FI;Toscana;Microimpresa;2025-03-31;S014;Davide;Rinaldi;davide.rinaldi14@example.it;Lazio;P026;Licenza Antivirus;Software;SoftBridge;39.00;4;0.00;W03;Roma Est;Roma;RM;E-commerce;Addebito diretto;Consegnato;2024-05-24;7.90;163.90
OL00000015;O0000007;2024-07-03;C01370;Matteo;Costa;matteo.costa1370@example.it;+393525165636;Bologna;BO;Emilia-Romagna;Professionista;2023-07-20;S017;Giulia;Lombardi;giulia.lombardi17@example.it;Piemonte;P030;Speaker Conference;Audio;SoundPeak;179.00;5;0.00;W03;Roma Est;Roma;RM;Commerciale;Bonifico;Consegnato;2024-07-07;0.00;895.00
OL00000016;O0000008;2025-08-24;C00454;Stefano;Longo;stefano.longo454@example.it;+393129237229;Bergamo;BG;Lombardia;Microimpresa;2021-02-26;S013;Ilaria;Ricci;ilaria.ricci13@example.it;Sicilia;P030;Speaker Conference;Audio;SoundPeak;179.00;4;0.00;W05;Torino Ovest;Torino;TO;Marketplace;PayPal;Consegnato;2025-08-31;19.90;735.90
OL00000017;O0000009;2025-08-01;C00305;Stefano;Rossi;stefano.rossi305@example.it;+393798174781;Bologna;BO;Emilia-Romagna;PMI;2025-03-19;S020;Federico;Costa;federico.costa20@example.it;Puglia;P006;Dock USB-C;Accessori;Connecta;89.00;5;20.00;W05;Torino Ovest;Torino;TO;Marketplace;Carta;Consegnato;2025-08-07;12.90;368.90
OL00000018;O0000010;2024-06-28;C01801;Luca;Lombardi;luca.lombardi1801@example.it;+393938666965;Torino;TO;Piemonte;PMI;2023-02-03;S033;Federico;Santoro;federico.santoro33@example.it;Veneto;P002;Notebook Air 13;Informatica;NovaTech;749.00;3;0.00;W04;Napoli Hub;Napoli;NA;Marketplace;Bonifico;Consegnato;2024-06-30;7.90;2254.90
OL00000019;O0000011;2024-11-22;C00059;Stefano;Rossi;stefano.rossi59@example.it;+393083653843;Messina;ME;Sicilia;PMI;2025-01-16;S024;Giorgio;Esposito;giorgio.esposito24@example.it;Emilia-Romagna;P017;Smartphone Business;Mobile;NovaTech;649.00;4;0.00;W04;Napoli Hub;Napoli;NA;E-commerce;PayPal;Consegnato;2024-11-28;0.00;2596.00
OL00000020;O0000011;2024-11-22;C00059;Stefano;Rossi;stefano.rossi59@example.it;+393083653843;Messina;ME;Sicilia;PMI;2025-01-16;S024;Giorgio;Esposito;giorgio.esposito24@example.it;Emilia-Romagna;P023;Hub HDMI;Accessori;Connecta;39.00;1;15.00;W04;Napoli Hub;Napoli;NA;E-commerce;PayPal;Consegnato;2024-11-28;12.90;46.05
OL00000021;O0000011;2024-11-22;C00059;Stefano;Rossi;stefano.rossi59@example.it;+393083653843;Messina;ME;Sicilia;PMI;2025-01-16;S024;Giorgio;Esposito;giorgio.esposito24@example.it;Emilia-Romagna;P021;Sedia Ergonomica;Arredo;FormaOffice;349.00;3;5.00;W04;Napoli Hub;Napoli;NA;E-commerce;PayPal;Consegnato;2024-11-28;19.90;1014.55
OL00000022;O0000011;2024-11-22;C00059;Stefano;Rossi;stefano.rossi59@example.it;+393083653843;Messina;ME;Sicilia;PMI;2025-01-16;S024;Giorgio;Esposito;giorgio.esposito24@example.it;Emilia-Romagna;P028;Firewall Appliance;Rete;NetWave;1290.00;3;5.00;W04;Napoli Hub;Napoli;NA;E-commerce;PayPal;Consegnato;2024-11-28;19.90;3696.40
OL00000023;O0000012;2025-05-06;C00396;Ilaria;Santoro;ilaria.santoro396@example.it;+393453731209;Parma;PR;Emilia-Romagna;Microimpresa;2023-05-31;S039;Giulia;Esposito;giulia.esposito39@example.it;Toscana;P015;Microfono USB;Audio;SoundPeak;119.00;7;10.00;W03;Roma Est;Roma;RM;Telefono;Carta;Consegnato;2025-05-10;4.90;754.60
OL00000024;O0000012;2025-05-06;C00396;Ilaria;Santoro;ilaria.santoro396@example.it;+393453731209;Parma;PR;Emilia-Romagna;Microimpresa;2023-05-31;S039;Giulia;Esposito;giulia.esposito39@example.it;Toscana;P010;Switch 8 Porte;Rete;NetWave;79.00;4;5.00;W03;Roma Est;Roma;RM;Telefono;Carta;Consegnato;2025-05-10;0.00;300.20
OL00000025;O0000012;2025-05-06;C00396;Ilaria;Santoro;ilaria.santoro396@example.it;+393453731209;Parma;PR;Emilia-Romagna;Microimpresa;2023-05-31;S039;Giulia;Esposito;giulia.esposito39@example.it;Toscana;P024;Cavo USB-C 2m;Accessori;Connecta;19.90;4;15.00;W03;Roma Est;Roma;RM;Telefono;Carta;Consegnato;2025-05-10;0.00;67.66
OL00000026;O0000012;2025-05-06;C00396;Ilaria;Santoro;ilaria.santoro396@example.it;+393453731209;Parma;PR;Emilia-Romagna;Microimpresa;2023-05-31;S039;Giulia;Esposito;giulia.esposito39@example.it;Toscana;P004;Tastiera Meccanica;Accessori;KeyForge;109.00;8;15.00;W03;Roma Est;Roma;RM;Telefono;Carta;Consegnato;2025-05-10;4.90;746.10
OL00000027;O0000013;2024-08-15;C02001;Elena;Marino;elena.marino2001@example.it;+393941655333;Modena;MO;Emilia-Romagna;Microimpresa;2024-05-29;S012;Martina;Santoro;martina.santoro12@example.it;Toscana;P030;Speaker Conference;Audio;SoundPeak;179.00;8;10.00;W02;Bologna Interporto;Bologna;BO;Marketplace;PayPal;Consegnato;2024-08-20;0.00;1288.80
OL00000028;O0000014;2025-10-15;C01371;Marco;Marino;marco.marino1371@example.it;+393803759177;Lecce;LE;Puglia;Enterprise;2022-04-14;S016;Andrea;Costa;andrea.costa16@example.it;Veneto;P021;Sedia Ergonomica;Arredo;FormaOffice;349.00;6;10.00;W04;Napoli Hub;Napoli;NA;Marketplace;Addebito diretto;Reso;2025-10-18;12.90;1897.50
OL00000029;O0000014;2025-10-15;C01371;Marco;Marino;marco.marino1371@example.it;+393803759177;Lecce;LE;Puglia;Enterprise;2022-04-14;S016;Andrea;Costa;andrea.costa16@example.it;Veneto;P013;Webcam Full HD;Video;Visionix;69.00;7;5.00;W04;Napoli Hub;Napoli;NA;Marketplace;Addebito diretto;Reso;2025-10-18;0.00;458.85
OL00000030;O0000014;2025-10-15;C01371;Marco;Marino;marco.marino1371@example.it;+393803759177;Lecce;LE;Puglia;Enterprise;2022-04-14;S016;Andrea;Costa;andrea.costa16@example.it;Veneto;P012;Scanner Documentale;Ufficio;Printiva;199.00;3;10.00;W04;Napoli Hub;Napoli;NA;Marketplace;Addebito diretto;Reso;2025-10-18;0.00;537.30
OL00000031;O0000015;2024-12-25;C01575;Alessandro;Ferrari;alessandro.ferrari1575@example.it;+393488282981;Roma;RM;Lazio;Microimpresa;2021-11-21;S035;Ilaria;Barbieri;ilaria.barbieri35@example.it;Emilia-Romagna;P010;Switch 8 Porte;Rete;NetWave;79.00;4;0.00;W03;Roma Est;Roma;RM;E-commerce;Carta;Annullato;;19.90;335.90
OL00000032;O0000015;2024-12-25;C01575;Alessandro;Ferrari;alessandro.ferrari1575@example.it;+393488282981;Roma;RM;Lazio;Microimpresa;2021-11-21;S035;Ilaria;Barbieri;ilaria.barbieri35@example.it;Emilia-Romagna;P020;Lampada Desk LED;Arredo;FormaOffice;44.00;5;0.00;W03;Roma Est;Roma;RM;E-commerce;Carta;Annullato;;0.00;220.00
OL00000033;O0000015;2024-12-25;C01575;Alessandro;Ferrari;alessandro.ferrari1575@example.it;+393488282981;Roma;RM;Lazio;Microimpresa;2021-11-21;S035;Ilaria;Barbieri;ilaria.barbieri35@example.it;Emilia-Romagna;P023;Hub HDMI;Accessori;Connecta;39.00;8;0.00;W03;Roma Est;Roma;RM;E-commerce;Carta;Annullato;;12.90;324.90
OL00000034;O0000015;2024-12-25;C01575;Alessandro;Ferrari;alessandro.ferrari1575@example.it;+393488282981;Roma;RM;Lazio;Microimpresa;2021-11-21;S035;Ilaria;Barbieri;ilaria.barbieri35@example.it;Emilia-Romagna;P001;Notebook Pro 14;Informatica;NovaTech;899.00;5;10.00;W03;Roma Est;Roma;RM;E-commerce;Carta;Annullato;;19.90;4065.40
OL00000035;O0000016;2025-09-03;C02115;Sara;Ricci;sara.ricci2115@example.it;+393629266527;Pisa;PI;Toscana;PMI;2023-12-17;S010;Francesca;Longo;francesca.longo10@example.it;Lazio;P020;Lampada Desk LED;Arredo;FormaOffice;44.00;4;0.00;W02;Bologna Interporto;Bologna;BO;Telefono;Bonifico;Consegnato;2025-09-08;0.00;176.00
OL00000036;O0000017;2025-02-05;C01372;Martina;Fontana;martina.fontana1372@example.it;+393470715827;La Spezia;SP;Liguria;PMI;2022-06-12;S036;Elena;Santoro;elena.santoro36@example.it;Veneto;P009;Router Wi-Fi 6;Rete;NetWave;159.00;8;10.00;W04;Napoli Hub;Napoli;NA;E-commerce;PayPal;Consegnato;2025-02-11;0.00;1144.80
OL00000037;O0000017;2025-02-05;C01372;Martina;Fontana;martina.fontana1372@example.it;+393470715827;La Spezia;SP;Liguria;PMI;2022-06-12;S036;Elena;Santoro;elena.santoro36@example.it;Veneto;P016;Tablet 11;Mobile;NovaTech;529.00;1;5.00;W04;Napoli Hub;Napoli;NA;E-commerce;PayPal;Consegnato;2025-02-11;19.90;522.45
OL00000038;O0000017;2025-02-05;C01372;Martina;Fontana;martina.fontana1372@example.it;+393470715827;La Spezia;SP;Liguria;PMI;2022-06-12;S036;Elena;Santoro;elena.santoro36@example.it;Veneto;P024;Cavo USB-C 2m;Accessori;Connecta;19.90;1;10.00;W04;Napoli Hub;Napoli;NA;E-commerce;PayPal;Consegnato;2025-02-11;0.00;17.91
OL00000039;O0000017;2025-02-05;C01372;Martina;Fontana;martina.fontana1372@example.it;+393470715827;La Spezia;SP;Liguria;PMI;2022-06-12;S036;Elena;Santoro;elena.santoro36@example.it;Veneto;P013;Webcam Full HD;Video;Visionix;69.00;6;5.00;W04;Napoli Hub;Napoli;NA;E-commerce;PayPal;Consegnato;2025-02-11;19.90;413.20
OL00000040;O0000018;2024-09-25;C02174;Elena;Barbieri;elena.barbieri2174@example.it;+393548663396;Modena;MO;Emilia-Romagna;PMI;2021-02-09;S034;Stefano;Leone;stefano.leone34@example.it;Puglia;P011;Stampante Laser;Ufficio;Printiva;239.00;3;10.00;W03;Roma Est;Roma;RM;E-commerce;Carta;Spedito;2024-09-28;7.90;653.20
OL00000041;O0000018;2024-09-25;C02174;Elena;Barbieri;elena.barbieri2174@example.it;+393548663396;Modena;MO;Emilia-Romagna;PMI;2021-02-09;S034;Stefano;Leone;stefano.leone34@example.it;Puglia;P005;Mouse Wireless;Accessori;KeyForge;49.90;1;10.00;W03;Roma Est;Roma;RM;E-commerce;Carta;Spedito;2024-09-28;4.90;49.81
OL00000042;O0000019;2024-05-22;C01212;Laura;Conti;laura.conti1212@example.it;+393541729310;Taranto;TA;Puglia;PMI;2023-07-06;S002;Valentina;Longo;valentina.longo2@example.it;Emilia-Romagna;P022;Scrivania Regolabile;Arredo;FormaOffice;579.00;2;15.00;W01;Milano Nord;Milano;MI;Commerciale;Carta;Consegnato;2024-05-28;0.00;984.30
OL00000043;O0000019;2024-05-22;C01212;Laura;Conti;laura.conti1212@example.it;+393541729310;Taranto;TA;Puglia;PMI;2023-07-06;S002;Valentina;Longo;valentina.longo2@example.it;Emilia-Romagna;P025;Licenza Office Suite;Software;SoftBridge;149.00;1;0.00;W01;Milano Nord;Milano;MI;Commerciale;Carta;Consegnato;2024-05-28;7.90;156.90
OL00000044;O0000020;2025-11-13;C01563;Andrea;Lombardi;andrea.lombardi1563@example.it;+393632579395;Padova;PD;Veneto;PMI;2022-01-26;S033;Federico;Santoro;federico.santoro33@example.it;Veneto;P018;Power Bank 20K;Mobile;Voltix;59.00;7;0.00;W04;Napoli Hub;Napoli;NA;Commerciale;PayPal;Consegnato;2025-11-16;12.90;425.90
OL00000045;O0000020;2025-11-13;C01563;Andrea;Lombardi;andrea.lombardi1563@example.it;+393632579395;Padova;PD;Veneto;PMI;2022-01-26;S033;Federico;Santoro;federico.santoro33@example.it;Veneto;P016;Tablet 11;Mobile;NovaTech;529.00;5;20.00;W04;Napoli Hub;Napoli;NA;Commerciale;PayPal;Consegnato;2025-11-16;12.90;2128.90
OL00000046;O0000021;2024-09-27;C01011;Ilaria;Rinaldi;ilaria.rinaldi1011@example.it;+393231424071;Cuneo;CN;Piemonte;Microimpresa;2022-08-19;S005;Elena;Bianchi;elena.bianchi5@example.it;Toscana;P021;Sedia Ergonomica;Arredo;FormaOffice;349.00;3;10.00;W03;Roma Est;Roma;RM;Telefono;Addebito diretto;In preparazione;;19.90;962.20
OL00000047;O0000021;2024-09-27;C01011;Ilaria;Rinaldi;ilaria.rinaldi1011@example.it;+393231424071;Cuneo;CN;Piemonte;Microimpresa;2022-08-19;S005;Elena;Bianchi;elena.bianchi5@example.it;Toscana;P020;Lampada Desk LED;Arredo;FormaOffice;44.00;8;5.00;W03;Roma Est;Roma;RM;Telefono;Addebito diretto;In preparazione;;0.00;334.40
OL00000048;O0000022;2025-08-08;C01209;Alice;Moretti;alice.moretti1209@example.it;+393781550992;Roma;RM;Lazio;Enterprise;2024-04-10;S034;Stefano;Leone;stefano.leone34@example.it;Puglia;P030;Speaker Conference;Audio;SoundPeak;179.00;1;5.00;W03;Roma Est;Roma;RM;E-commerce;Carta;Consegnato;2025-08-15;7.90;177.95
OL00000049;O0000023;2024-11-29;C00210;Luca;Costa;luca.costa210@example.it;+393914169094;Padova;PD;Veneto;Enterprise;2021-03-09;S027;Ilaria;Lombardi;ilaria.lombardi27@example.it;Lazio;P005;Mouse Wireless;Accessori;KeyForge;49.90;4;0.00;W04;Napoli Hub;Napoli;NA;Commerciale;Addebito diretto;Spedito;2024-12-01;12.90;212.50
OL00000050;O0000023;2024-11-29;C00210;Luca;Costa;luca.costa210@example.it;+393914169094;Padova;PD;Veneto;Enterprise;2021-03-09;S027;Ilaria;Lombardi;ilaria.lombardi27@example.it;Lazio;P024;Cavo USB-C 2m;Accessori;Connecta;19.90;8;5.00;W04;Napoli Hub;Napoli;NA;Commerciale;Addebito diretto;Spedito;2024-12-01;4.90;156.14
OL00000051;O0000024;2025-08-04;C02099;Sara;Caruso;sara.caruso2099@example.it;+393468321352;Caserta;CE;Campania;Enterprise;2024-11-26;S029;Matteo;Bianchi;matteo.bianchi29@example.it;Piemonte;P025;Licenza Office Suite;Software;SoftBridge;149.00;7;0.00;W05;Torino Ovest;Torino;TO;E-commerce;Bonifico;Consegnato;2025-08-08;12.90;1055.90
OL00000052;O0000024;2025-08-04;C02099;Sara;Caruso;sara.caruso2099@example.it;+393468321352;Caserta;CE;Campania;Enterprise;2024-11-26;S029;Matteo;Bianchi;matteo.bianchi29@example.it;Piemonte;P001;Notebook Pro 14;Informatica;NovaTech;899.00;5;0.00;W05;Torino Ovest;Torino;TO;E-commerce;Bonifico;Consegnato;2025-08-08;0.00;4495.00
OL00000053;O0000024;2025-08-04;C02099;Sara;Caruso;sara.caruso2099@example.it;+393468321352;Caserta;CE;Campania;Enterprise;2024-11-26;S029;Matteo;Bianchi;matteo.bianchi29@example.it;Piemonte;P018;Power Bank 20K;Mobile;Voltix;59.00;3;10.00;W05;Torino Ovest;Torino;TO;E-commerce;Bonifico;Consegnato;2025-08-08;0.00;159.30
OL00000054;O0000025;2025-03-01;C00110;Chiara;Rossi;chiara.rossi110@example.it;+393844991543;Siena;SI;Toscana;Professionista;2021-10-20;S039;Giulia;Esposito;giulia.esposito39@example.it;Toscana;P008;NAS 2-Bay;Archiviazione;DataSafe;289.00;4;10.00;W04;Napoli Hub;Napoli;NA;E-commerce;Addebito diretto;Consegnato;2025-03-08;7.90;1048.30
OL00000055;O0000025;2025-03-01;C00110;Chiara;Rossi;chiara.rossi110@example.it;+393844991543;Siena;SI;Toscana;Professionista;2021-10-20;S039;Giulia;Esposito;giulia.esposito39@example.it;Toscana;P012;Scanner Documentale;Ufficio;Printiva;199.00;7;20.00;W04;Napoli Hub;Napoli;NA;E-commerce;Addebito diretto;Consegnato;2025-03-08;7.90;1122.30
OL00000056;O0000025;2025-03-01;C00110;Chiara;Rossi;chiara.rossi110@example.it;+393844991543;Siena;SI;Toscana;Professionista;2021-10-20;S039;Giulia;Esposito;giulia.esposito39@example.it;Toscana;P020;Lampada Desk LED;Arredo;FormaOffice;44.00;5;5.00;W04;Napoli Hub;Napoli;NA;E-commerce;Addebito diretto;Consegnato;2025-03-08;12.90;221.90
OL00000057;O0000026;2025-06-26;C00400;Giorgio;Lombardi;giorgio.lombardi400@example.it;+393519137661;Lecce;LE;Puglia;Microimpresa;2021-08-17;S004;Laura;Rossi;laura.rossi4@example.it;Lazio;P028;Firewall Appliance;Rete;NetWave;1290.00;7;5.00;W02;Bologna Interporto;Bologna;BO;E-commerce;Bonifico;Consegnato;2025-06-30;0.00;8578.50
OL00000058;O0000026;2025-06-26;C00400;Giorgio;Lombardi;giorgio.lombardi400@example.it;+393519137661;Lecce;LE;Puglia;Microimpresa;2021-08-17;S004;Laura;Rossi;laura.rossi4@example.it;Lazio;P026;Licenza Antivirus;Software;SoftBridge;39.00;1;0.00;W02;Bologna Interporto;Bologna;BO;E-commerce;Bonifico;Consegnato;2025-06-30;7.90;46.90
OL00000059;O0000027;2024-10-31;C02470;Giorgio;Gallo;giorgio.gallo2470@example.it;+393600312864;Bologna;BO;Emilia-Romagna;Microimpresa;2025-05-12;S040;Federico;Ricci;federico.ricci40@example.it;Sicilia;P009;Router Wi-Fi 6;Rete;NetWave;159.00;2;5.00;W05;Torino Ovest;Torino;TO;Commerciale;Addebito diretto;In preparazione;;7.90;310.00
OL00000060;O0000027;2024-10-31;C02470;Giorgio;Gallo;giorgio.gallo2470@example.it;+393600312864;Bologna;BO;Emilia-Romagna;Microimpresa;2025-05-12;S040;Federico;Ricci;federico.ricci40@example.it;Sicilia;P015;Microfono USB;Audio;SoundPeak;119.00;3;0.00;W05;Torino Ovest;Torino;TO;Commerciale;Addebito diretto;In preparazione;;12.90;369.90
OL00000061;O0000027;2024-10-31;C02470;Giorgio;Gallo;giorgio.gallo2470@example.it;+393600312864;Bologna;BO;Emilia-Romagna;Microimpresa;2025-05-12;S040;Federico;Ricci;federico.ricci40@example.it;Sicilia;P027;Server Tower;Informatica;NovaTech;2190.00;8;0.00;W05;Torino Ovest;Torino;TO;Commerciale;Addebito diretto;In preparazione;;19.90;17539.90
OL00000062;O0000028;2024-08-26;C02113;Davide;Ricci;davide.ricci2113@example.it;+393899016839;Bergamo;BG;Lombardia;Microimpresa;2021-06-10;S007;Matteo;Bianchi;matteo.bianchi7@example.it;Sicilia;P020;Lampada Desk LED;Arredo;FormaOffice;44.00;1;5.00;W03;Roma Est;Roma;RM;E-commerce;Addebito diretto;Consegnato;2024-08-30;4.90;46.70
OL00000063;O0000028;2024-08-26;C02113;Davide;Ricci;davide.ricci2113@example.it;+393899016839;Bergamo;BG;Lombardia;Microimpresa;2021-06-10;S007;Matteo;Bianchi;matteo.bianchi7@example.it;Sicilia;P014;Cuffie Conference;Audio;SoundPeak;99.00;8;0.00;W03;Roma Est;Roma;RM;E-commerce;Addebito diretto;Consegnato;2024-08-30;0.00;792.00
OL00000064;O0000029;2024-03-17;C00173;Matteo;Santoro;matteo.santoro173@example.it;+393841586839;Taranto;TA;Puglia;PMI;2022-05-31;S007;Matteo;Bianchi;matteo.bianchi7@example.it;Sicilia;P006;Dock USB-C;Accessori;Connecta;89.00;7;5.00;W05;Torino Ovest;Torino;TO;E-commerce;Bonifico;Consegnato;2024-03-19;12.90;604.75
OL00000065;O0000029;2024-03-17;C00173;Matteo;Santoro;matteo.santoro173@example.it;+393841586839;Taranto;TA;Puglia;PMI;2022-05-31;S007;Matteo;Bianchi;matteo.bianchi7@example.it;Sicilia;P023;Hub HDMI;Accessori;Connecta;39.00;2;20.00;W05;Torino Ovest;Torino;TO;E-commerce;Bonifico;Consegnato;2024-03-19;4.90;67.30
OL00000066;O0000029;2024-03-17;C00173;Matteo;Santoro;matteo.santoro173@example.it;+393841586839;Taranto;TA;Puglia;PMI;2022-05-31;S007;Matteo;Bianchi;matteo.bianchi7@example.it;Sicilia;P021;Sedia Ergonomica;Arredo;FormaOffice;349.00;3;15.00;W05;Torino Ovest;Torino;TO;E-commerce;Bonifico;Consegnato;2024-03-19;7.90;897.85
OL00000067;O0000029;2024-03-17;C00173;Matteo;Santoro;matteo.santoro173@example.it;+393841586839;Taranto;TA;Puglia;PMI;2022-05-31;S007;Matteo;Bianchi;matteo.bianchi7@example.it;Sicilia;P005;Mouse Wireless;Accessori;KeyForge;49.90;1;0.00;W05;Torino Ovest;Torino;TO;E-commerce;Bonifico;Consegnato;2024-03-19;0.00;49.90
OL00000068;O0000030;2025-09-29;C01736;Elena;Lombardi;elena.lombardi1736@example.it;+393623489812;Modena;MO;Emilia-Romagna;PMI;2021-03-16;S036;Elena;Santoro;elena.santoro36@example.it;Veneto;P007;SSD Esterno 1TB;Archiviazione;DataSafe;129.00;8;0.00;W05;Torino Ovest;Torino;TO;Marketplace;Carta;Consegnato;2025-10-01;0.00;1032.00
OL00000069;O0000030;2025-09-29;C01736;Elena;Lombardi;elena.lombardi1736@example.it;+393623489812;Modena;MO;Emilia-Romagna;PMI;2021-03-16;S036;Elena;Santoro;elena.santoro36@example.it;Veneto;P020;Lampada Desk LED;Arredo;FormaOffice;44.00;2;5.00;W05;Torino Ovest;Torino;TO;Marketplace;Carta;Consegnato;2025-10-01;0.00;83.60
